date,EPU,GPR,USD,BP500,production,consumption,OECD,naturegas, Coal,Google_Trends,VIX,Brent
2019/2/1,213.7127375,113.57,95.576,2706.53,2943.67,3.59,4419.6869,2.7,98.35,218,16.14,62.75
2019/2/4,211.4901097,179.98,95.849,2724.87,2943.67,3.59,4419.685974,2.57,98.2,216,15.73,62.51
2019/2/5,209.4967451,106.41,96.05,2737.7,2943.67,3.59,4419.672721,2.54,98.3,217,15.57,61.98
2019/2/6,207.732644,103.1,96.37,2731.61,2943.67,3.59,4419.647141,2.58,98.3,217,15.38,62.69
2019/2/7,206.1978063,92.48,96.544,2706.05,2943.67,3.59,4419.609234,2.62,97.8,217,16.37,61.63
2019/2/8,204.8922319,62.35,96.646,2707.88,2943.67,3.59,4419.559001,2.66,97.2,218,15.72,62.1
2019/2/11,203.815921,96.53,97.061,2709.8,2943.67,3.59,4419.496441,2.76,96.7,218,15.97,61.51
2019/2/12,202.9688734,69.22,96.717,2744.73,2943.67,3.59,4419.421555,2.71,95.65,218,15.43,62.42
2019/2/13,202.3510891,88.73,97.166,2753.03,2943.67,3.59,4419.334342,2.61,95.7,219,15.65,63.61
2019/2/14,201.9625683,76.54,97.042,2745.73,2943.67,3.59,4419.234802,2.61,94.95,220,16.22,64.57
2019/2/15,201.8033109,145.11,96.869,2775.6,2943.67,3.59,4419.122936,2.59,94.85,221,14.91,66.25
2019/2/18,201.8733168,67.15,96.77,2777.68,2943.67,3.59,4418.998743,2.64,95,226,14.895,66.5
2019/2/19,202.1725861,116.57,96.505,2779.76,2943.67,3.59,4418.862223,2.69,95.2,226,14.88,66.45
2019/2/20,202.7011188,171.34,96.504,2784.7,2943.67,3.59,4418.713376,2.69,95.2,226,14.02,67.08
2019/2/21,203.4589149,116.55,96.62,2774.88,2943.67,3.59,4418.552203,2.73,95.2,225,14.46,67.07
2019/2/22,204.4459744,69.44,96.544,2792.67,2943.67,3.59,4418.378704,2.74,95.05,223,13.51,67.12
2019/2/25,205.6622972,139.02,96.418,2796.11,2943.67,3.59,4418.192877,2.84,93.7,215,14.85,64.76
2019/2/26,207.1078834,124.92,96.051,2793.9,2943.67,3.59,4417.994724,2.74,94.8,213,15.17,65.21
2019/2/27,208.7827331,160.56,96.144,2792.38,2943.67,3.59,4417.784244,2.89,94.9,212,14.7,66.39
2019/2/28,210.686846,162.63,96.198,2784.49,2943.67,3.59,4417.561438,2.89,96.05,210,14.78,66.03
2019/3/1,245.4411193,184.5,96.514,2803.69,2649.54,3.21,4414.696,3.19,97,209,13.57,65.07
2019/3/4,247.4930838,62.96,96.609,2792.81,2649.54,3.21,4414.473591,4.25,98.15,211,14.63,65.67
2019/3/5,249.3082989,103.08,96.836,2789.65,2649.54,3.21,4414.276431,3.18,98.05,211,14.74,65.86
2019/3/6,250.8867646,81.01,96.847,2771.45,2649.54,3.21,4414.10452,3.18,97.45,210,15.74,65.99
2019/3/7,252.2284809,91.1,97.692,2748.93,2649.54,3.21,4413.957859,2.9,97.6,209,16.59,66.3
2019/3/8,253.3334477,55.01,97.368,2743.07,2649.54,3.21,4413.836446,2.9,95.55,208,16.05,65.74
2019/3/11,254.2016651,44.9,97.17,2783.3,2649.54,3.21,4413.740282,2.86,94.55,205,14.33,66.58
2019/3/12,254.8331331,101.32,97.035,2791.52,2649.54,3.21,4413.669368,2.83,95.05,204,13.77,66.67
2019/3/13,255.2278516,115.26,96.453,2810.92,2649.54,3.21,4413.623703,2.87,94.5,204,13.41,67.55
2019/3/14,255.3858207,66.67,96.748,2808.48,2649.54,3.21,4413.603286,2.95,94.6,205,13.5,67.23
2019/3/15,255.3070404,61.12,96.563,2822.48,2649.54,3.21,4413.608119,2.95,93.85,207,12.88,67.16
2019/3/18,254.9915107,79.94,96.496,2832.94,2649.54,3.21,4413.638201,2.9,93.8,213,13.1,67.54
2019/3/19,254.4392315,107.43,96.418,2832.57,2649.54,3.21,4413.693533,2.92,93.45,214,13.56,67.61
2019/3/20,253.6502029,60.31,96.037,2824.23,2649.54,3.21,4413.774113,2.86,93.55,215,13.91,68.5
2019/3/21,252.6244248,88.87,96.335,2854.88,2649.54,3.21,4413.879942,2.86,93.5,216,13.63,67.86
2019/3/22,251.3618974,122.84,96.609,2800.71,2649.54,3.21,4414.011021,2.75,93.3,216,16.48,67.03
2019/3/25,249.8626205,51.39,96.517,2798.36,2649.54,3.21,4414.167349,2.72,93.55,213,16.33,67.21
2019/3/26,248.1265942,88.73,96.829,2818.46,2649.54,3.21,4414.348926,2.74,93.2,213,14.68,67.97
2019/3/27,246.1538184,80.9,96.942,2805.37,2649.54,3.21,4414.555751,2.69,93.5,213,15.15,67.83
